name,category_code,tag_list,description,total_money_raised,longitude,latitude,city,address1,address2,state_code,country_code,description2
Digg,news,"community, social, news, bookmark, digg, technology, design",user driven social content website,$45M,-122.394523,37.764726,San Francisco,135 Mississippi St,,CA,USA,None
Wix,web,"website, widget, design, flash, internet",Drag-and-Drop Web Publishing Platform,$58.5M,-122.40507,37.75672,San Francisco,,,CA,USA,
Gilt Groupe,fashion,"clothing, fashion, designer, apparel, luxury, travel, shopping, deals",Designer Sample Sales Online,$236M,-73.9800645,40.74727,New York,2 Park Ave Fl 4,,NY,USA,New York Office
99designs,design,"graphic-design, crowdsourcing, online-marketplace, marketplace, crowdsourced-design",Online graphic design marketplace,$35M,-122.4005983,37.7955307,San Francisco,447 Battery St.,3rd Floor,CA,USA,United States (HQ)
Minted,ecommerce,"crowd-sourcing, design, art, stationery, ecommerce",marketplace for design and art,$52.7M,-122.403175,37.797435,San Francisco,747 Front Street,2nd Floor,CA,USA,
Squarespace,web,"software, web-design, website-creation-platform, cms, blog, content-management",Fully-hosted website creator,$38.5M,-74.00087,40.72081,New York,459 Broadway,5th Floor,NY,USA,Squarespace
Banyan Branch,news,"social-media, consulting, twitter, facebook, monitoring, viral-design, viral",Social media marketing agency,$1.7M,-73.93230,40.69517,New York,"455 Broadway, 3rd Floor",,NY,USA,New York office
Netbiscuits,mobile,"mobile-web, cloud-platform, adaptive-web-technology, responsive-design, mobile-web-solutions, cloud-solutions, mobile-development, cross-platfrom, html5, css, web-development",Mobile Web Development Platform,$27M,-0.1547377,51.513248,London,25 North Row,,None,GBR,Netbiscuits UK
Netbiscuits,mobile,"mobile-web, cloud-platform, adaptive-web-technology, responsive-design, mobile-web-solutions, cloud-solutions, mobile-development, cross-platfrom, html5, css, web-development",Mobile Web Development Platform,$27M,-73.93230,40.69517,New York,7th Floor,275 Seventh Ave,NY,USA,New York Office
Netbiscuits,mobile,"mobile-web, cloud-platform, adaptive-web-technology, responsive-design, mobile-web-solutions, cloud-solutions, mobile-development, cross-platfrom, html5, css, web-development",Mobile Web Development Platform,$27M,-122.4264417,37.7550372,San Francisco,Suite 2200,425 Market Street,CA,USA,San Francisco
Moonfruit,design,,,$2.25M,-0.11016,51.51913,London,,,None,GBR,UK Office
